domain,name,rows,cols,nnz,kind
power_network_problem,1138_bus,1138,1138,2596,power network problem
power_network_problem,494_bus,494,494,1080,power network problem
power_network_problem,662_bus,662,662,1568,power network problem
power_network_problem,685_bus,685,685,1967,power network problem
power_network_problem,ACTIVSg2000,4000,4000,29336,power network problem
undirected_weighted_graph,Binaryalphadigs_10NN,1404,1404,9696,undirected weighted graph
structural_problem,Chebyshev1,261,261,2319,structural problem
structural_problem,Chebyshev2,2053,2053,18447,structural problem
structural_problem,Chebyshev3,4101,4101,36879,structural problem
statistical_mathematical_problem,Chem97ZtZ,2541,2541,4951,statistical/mathematical problem
computational_fluid_dynamics_problem,DK01R,903,903,11766,computational fluid dynamics problem
undirected_weighted_graph,Ecoli_10NN,336,336,2280,undirected weighted graph
undirected_weighted_graph,Fashion_MNIST_norm_10NN,10000,10000,79152,undirected weighted graph
undirected_weighted_graph,GD97_b,47,47,132,undirected weighted graph
computational_fluid_dynamics_problem,GT01R,7980,7980,430909,computational fluid dynamics problem
undirected_weighted_graph,Glass_10NN,214,214,1493,undirected weighted graph
computational_fluid_dynamics,Goodwin_010,1182,1182,32282,computational fluid dynamics
computational_fluid_dynamics,Goodwin_013,1965,1965,56069,computational fluid dynamics
computational_fluid_dynamics,Goodwin_017,3317,3317,97773,computational fluid dynamics
computational_fluid_dynamics,Goodwin_023,6005,6005,182168,computational fluid dynamics
circuit_simulation_problem,Hamrle1,32,32,98,circuit simulation problem
circuit_simulation_problem,Hamrle2,5952,5952,22162,circuit simulation problem
undirected_weighted_graph,JapaneseVowelsSmall_10NN,9961,9961,65572,undirected weighted graph
counter_example_problem,Kaufhold,8765,8765,42471,counter-example problem
structural_problem,Kuu,7102,7102,173651,structural problem
model_reduction_problem,LF10,18,18,50,model reduction problem
model_reduction_problem,LFAT5,14,14,30,model reduction problem
power_network_problem,LeGresley_2508,2508,2508,16727,power network problem
power_network_problem,LeGresley_4908,4908,4908,30482,power network problem
eigenvalue_model_reduction_problem,M10PI_n,682,682,1633,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M10PI_n1,528,528,1317,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M20PI_n,1182,1182,2881,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M20PI_n1,1028,1028,2547,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M40PI_n,2182,2182,5341,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M40PI_n1,2028,2028,5007,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M80PI_n,4182,4182,10261,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,M80PI_n1,4028,4028,9927,eigenvalue/model reduction problem
undirected_weighted_graph,MISKnowledgeMap,2427,2427,28511,undirected weighted graph
structural_problem,Muu,7102,7102,88618,structural problem
theoretical_quantum_chemistry_problem,Na5,5832,5832,155731,theoretical/quantum chemistry problem
undirected_weighted_graph,Olivetti_norm_10NN,400,400,2828,undirected weighted graph
counter_example_problem,Pd,8081,8081,13036,counter-example problem
undirected_weighted_graph,Plants_10NN,1600,1600,10965,undirected weighted graph
