domain,matrices,smallest,largest,total_nonzeros
2d_3d_problem,49,104,9801,4872648
acoustics_problem,2,841,8205,70874
chemical_process_simulation_problem,44,7,7337,1067701
circuit_simulation_problem,200,32,7602,1544559
computational_chemistry_problem,1,730,730,31877
computational_fluid_dynamics,4,1182,6005,368292
computational_fluid_dynamics_problem,122,30,9540,6605382
computer_graphics_vision_problem,1,500,500,28726
counter_example_problem,4,2142,8765,115642
directed_weighted_graph,17,5,7055,143656
economic_problem,17,496,9129,1675682
eigenvalue_model_reduction_problem,19,66,9735,154743
electromagnetics_problem,25,62,8192,1336952
linear_programming_problem,1,3001,3001,9000
materials_problem,9,130,10000,668434
model_reduction_problem,13,14,9669,314248
optimal_control_problem,78,99,8115,1116058
optimization_problem,39,363,9941,1919452
power_network_problem,17,494,9774,1862572
random_matrices,100,5,300,1867902
robotics_problem,1,120,120,870
semiconductor_device_problem,4,2903,3169,79868
statistical_mathematical_problem,6,102,5151,28729
structural_problem,87,48,9801,2913695
theoretical_quantum_chemistry_problem,31,769,9506,10066110
thermal_problem,2,1794,3456,74292
undirected_weighted_graph,37,47,10000,671779
