method,type,success_rate,median_runtime_s,median_rel_error,median_iterations
ALL,ALL,0.0,,,
Gauss elimination,direct,64.7,0.18411572349987182,2.3577451119808655e-12,511.0
LU,direct,64.7,0.1775778134997381,2.962599343182546e-12,511.0
Gauss-Jordan,direct,64.5,0.3151727314998425,3.2372336429562776e-12,521.5
Cholesky,direct,6.7,0.016773100999898816,4.384306201896247e-14,489.5
APK (ours),iterative,66.3,0.014104805999977543,1.1748329202770637e-10,11.0
BiCGSTAB,iterative,34.7,0.1074888779999128,2.6126161606168203,796.0
Gauss-Seidel,iterative,13.1,0.02887328700035141,32.617423238749055,10.0
SOR,iterative,12.9,0.023186368499409582,3466.9557582887483,14.0
Conjugate Gradient,iterative,10.2,0.04166975849989285,0.00034033253120512583,772.0
Jacobi,iterative,8.1,0.001630152499956239,21185.574390920614,10.0
