domain,method,n,applicable,solved
2d_3d_problem,BiCGSTAB,2,2,2
2d_3d_problem,Cholesky,2,0,0
2d_3d_problem,Conjugate Gradient,2,0,0
2d_3d_problem,GMRES(30),2,2,1
2d_3d_problem,Gauss elimination,2,2,2
2d_3d_problem,Gauss-Jordan,2,2,2
2d_3d_problem,Gauss-Seidel,2,2,1
2d_3d_problem,ILU only,2,2,0
2d_3d_problem,ILU-BiCGSTAB,2,2,2
2d_3d_problem,ILU-GMRES(30),2,2,2
2d_3d_problem,ILU-Krylov (dispatched),2,2,2
2d_3d_problem,Jacobi,2,2,0
2d_3d_problem,LU,2,2,2
2d_3d_problem,SOR,2,2,2
2d_3d_problem,splu (SuperLU),2,2,2
2d_3d_problem,spsolve (SuperLU),2,2,2
