method,0,1,2
BiCGSTAB,2.153176236054955e-05,3.558387397304767e-11,1.101377906799779e-12
GMRES(30),3.132056466927352e-06,4.348485297251197e-12,2.0781905110092754e-13
Gauss elimination,4.303787587909138e-13,3.587226404389871e-13,3.587226404389871e-13
Gauss-Jordan,3.828861160033459e-13,5.932001125813435e-13,5.932001125813435e-13
Gauss-Seidel,5.291336556760929e-06,1.3123945942338947e-08,1.7204043634019279e-12
ILU only,,,1.318166186868695e-09
ILU-BiCGSTAB,4.744029876248022e-07,2.9454980677221373e-13,2.9454980677221373e-13
ILU-GMRES(30),7.001676047008767e-10,6.613837742781301e-13,6.613837742781301e-13
ILU-Krylov (dispatched),4.744029876248022e-07,2.9454980677221373e-13,2.9454980677221373e-13
LU,4.602983903313901e-13,4.602983903313901e-13,4.602983903313901e-13
SOR,2.7410546150169574e-05,4.074889563615404e-12,2.827332283420546e-13
splu (SuperLU),4.291109917949735e-13,4.291109917949735e-13,4.291109917949735e-13
spsolve (SuperLU),4.291109917949735e-13,4.291109917949735e-13,4.291109917949735e-13
