matrix,n,rho,omega,gs_status,fixed_status,adaptive_status,gs_iters,fixed_iters,adaptive_iters
rand_001_n5,5,1.4420390604142492,1.0,did_not_converge,did_not_converge,did_not_converge,44,25,44
rand_002_n6,6,7.6211003936442,1.0,did_not_converge,did_not_converge,did_not_converge,11,10,11
cage3,5,1.128364252489967,1.0,solved,solved,solved,36,16,36
rand_003_n7,7,52.21416067609682,1.0,did_not_converge,did_not_converge,did_not_converge,5,5,5
LFAT5,14,1.3810956288545788,1.0,solved,solved,solved,307,184,307
rand_004_n8,8,14.062289329112723,1.0,did_not_converge,did_not_converge,did_not_converge,5,5,5
cage4,9,1.1690111338945885,1.0,solved,solved,solved,29,19,29
LF10,18,1.1288994865133837,1.0,did_not_converge,solved,did_not_converge,10000,6207,10000
rand_005_n9,9,97.74243330183597,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
bcsstm02,66,0.0,1.0,solved,solved,solved,2,15,2
rand_006_n10,10,6.657462641071883,1.0,did_not_converge,did_not_converge,did_not_converge,6,5,6
rand_007_n11,11,6.17326262660566,1.0,did_not_converge,did_not_converge,did_not_converge,7,6,7
rand_008_n12,12,5.537735330731505,1.0,did_not_converge,did_not_converge,did_not_converge,6,5,6
mesh1em6,48,0.6646744569221466,1.144732477534373,solved,solved,solved,22,17,14
rand_009_n13,13,16.01686109627365,1.0,did_not_converge,did_not_converge,did_not_converge,4,4,4
rand_010_n13,13,3.953007489798065,1.0,did_not_converge,did_not_converge,did_not_converge,6,5,6
mesh1e1,48,0.7779119619704297,1.2282196128911196,solved,solved,solved,15,18,17
mesh1em1,48,0.8459104534957016,1.3043549556124503,solved,solved,solved,46,24,19
bcsstm05,153,0.0,1.0,solved,solved,solved,2,15,2
pores_1,30,6.840574821928438,1.0,did_not_converge,did_not_converge,did_not_converge,15,12,15
bfwb62,62,1.0085053306194,1.0,solved,solved,solved,17,19,17
bcsstm22,138,0.0,1.0,solved,solved,solved,2,15,2
rand_011_n14,14,36.80653706337674,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
bcsstk01,48,1.1017326841019004,1.0,solved,solved,solved,2032,1380,2032
rand_012_n15,15,10.237241862175654,1.0,did_not_converge,did_not_converge,did_not_converge,5,5,5
rand_013_n16,16,145.82578264039057,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
nos4,100,0.9798372064451579,1.6669479368088085,solved,solved,solved,3309,2002,684
