matrix,domain,n,nnz,zero_diag,structurally_singular,ours_1_built,ours_1_usable,ours_1_sec,ours_2_built,ours_2_usable,ours_2_sec,ours_3_built,ours_3_usable,ours_3_sec,low_drop_built,low_drop_usable,low_drop_sec,no_drop_built,no_drop_usable,no_drop_sec,full_pivot_built,full_pivot_usable,full_pivot_sec,permc_mmd_built,permc_mmd_usable,permc_mmd_sec,permc_natural_built,permc_natural_usable,permc_natural_sec
bcsstm03,structural_problem,112,112,40,False,False,False,0.00019289999909233302,False,False,9.380000119563192e-05,False,False,8.460000390186906e-05,False,False,8.350000280188397e-05,False,False,8.119999984046444e-05,False,False,7.499999628635123e-05,False,False,7.190000178525224e-05,False,False,6.900000153109431e-05
bcsstm04,structural_problem,132,132,66,False,False,False,0.000145500001963228,False,False,8.610000077169389e-05,False,False,7.899999764049426e-05,False,False,7.509999704780057e-05,False,False,7.550000009359792e-05,False,False,7.349999941652641e-05,False,False,7.580000237794593e-05,False,False,7.249999907799065e-05
west0156,chemical_process_simulation_problem,156,371,156,False,False,False,0.00028440000460250303,False,False,0.00017159999697469175,False,False,0.00014689999807160348,False,False,0.0001388000018778257,True,True,0.000134599999000784,False,False,0.00017470000602770597,True,True,0.0002721999990171753,False,False,0.00013410000246949494
west0132,chemical_process_simulation_problem,132,414,126,False,False,False,0.00019690000044647604,False,False,0.00016180000238819048,False,False,0.00014569999621016905,True,True,0.0001419000036548823,True,True,0.0001612999985809438,False,False,0.00015559999883407727,False,False,0.0002528000040911138,False,False,0.0001464000015403144
west0167,chemical_process_simulation_problem,167,507,153,False,False,False,0.00022460000036517158,False,False,0.00017560000560479239,False,False,0.0001632999992580153,True,True,0.00015890000213403255,True,True,0.0001840999975684099,False,False,0.00018000000272877514,False,False,0.0003236999982618727,False,False,0.00017629999638302252
rotor1,structural_problem,100,708,37,False,False,False,0.00022720000561093912,False,False,0.0001736999984132126,False,False,0.00016740000137360767,True,True,0.00017910000315168872,True,True,0.00017070000467356294,False,False,0.00015720000374130905,True,True,0.00017379999917466193,False,False,0.00017150000348920003
gre_216b,directed_weighted_graph,216,876,64,False,False,False,0.00044609999895328656,False,False,0.00039059999835444614,False,False,0.0003864999962388538,True,True,0.00044859999616164714,True,True,0.00047110000014072284,False,False,0.0004087999986950308,True,True,0.0004995999988750555,False,False,0.0002412999965599738
M10PI_n,eigenvalue_model_reduction_problem,682,1633,427,False,False,False,0.0004182999982731417,False,False,0.00039200000173877925,False,False,0.00040949999674921855,False,False,0.0004042999935336411,False,False,0.0004414000068209134,False,False,0.0003880000003846362,False,False,0.0004679000048781745,False,False,0.0003243000028305687
S10PI_n,eigenvalue_model_reduction_problem,682,1633,427,False,False,False,0.0005939999973634258,False,False,0.00047820000327192247,False,False,0.0004189000028418377,False,False,0.00037960000190651044,False,False,0.0004393999988678843,False,False,0.0003929999948013574,False,False,0.0005036000002291985,False,False,0.0003663000024971552
west0497,chemical_process_simulation_problem,497,1727,491,False,False,False,0.0005468999952427112,False,False,0.000538699998287484,False,False,0.00048210000386461616,True,True,0.00047470000572502613,True,True,0.0005153999954927713,False,False,0.0004960999940522015,True,True,0.0011027000000467524,False,False,0.0006049000003258698
nnc261,2d_3d_problem,261,1500,111,False,False,False,0.0004861999987042509,False,False,0.0004741000011563301,False,False,0.0004434000002220273,False,False,0.00047700000141048804,True,True,0.0004969000001437962,False,False,0.0005406999989645556,True,True,0.0005117000036989339,True,True,0.00046999999904073775
west0479,chemical_process_simulation_problem,479,1910,471,False,False,False,0.0006384999942383729,False,False,0.0006638999984716065,False,False,0.0006483999968622811,True,True,0.0006326000002445653,True,True,0.0006726999999955297,False,False,0.0006446000043069944,False,False,0.0018596000008983538,False,False,0.0006701999955112115
USAir97,undirected_weighted_graph,332,4252,332,False,False,False,0.0005539999983739108,False,False,0.000509600002260413,False,False,0.000508999997691717,False,False,0.0005047000013291836,False,False,0.0005063999997219071,False,False,0.0004941000006510876,False,False,0.0005110999991302378,False,False,0.0020850000000791624
oscil_dcop_56,circuit_simulation_problem,430,1544,64,False,False,False,0.0004608999952324666,False,False,0.00046290000318549573,False,False,0.0004521000009845011,True,True,0.00041449999844189733,True,True,0.0004523999959928915,False,False,0.00042329999996582046,False,False,0.0004058999984408729,False,False,0.0003077000001212582
oscil_dcop_54,circuit_simulation_problem,430,1544,64,False,False,False,0.0004783000040333718,False,False,0.000429600004281383,False,False,0.00041230000351788476,True,True,0.0004383000050438568,True,True,0.00042689999827416614,False,False,0.0004222999996272847,False,False,0.0004029000047012232,False,False,0.00031960000342223793
oscil_dcop_57,circuit_simulation_problem,430,1544,64,False,False,False,0.00046909999946365133,False,False,0.00042749999556690454,False,False,0.000407300001825206,True,True,0.0004090000002179295,True,True,0.0004158000010647811,False,False,0.00042129999928874895,False,False,0.00040330000047106296,False,False,0.0003073999978369102
oscil_dcop_51,circuit_simulation_problem,430,1544,64,False,False,False,0.00048179999430431053,False,False,0.0004214000000501983,False,False,0.0004117999997106381,True,True,0.0004122000027564354,True,True,0.0004121999954804778,False,False,0.0004123999970033765,False,False,0.00042409999878145754,False,False,0.000319799997669179
