matrix,domain,n,nnz,zero_diag,none,none_status,none_zeros_after,none_sec,mc64,mc64_status,mc64_zeros_after,mc64_sec,best,best_status,best_zeros_after,best_sec,mc64_residual,mc64_iterations,best_residual,best_iterations
bcsstm03,structural_problem,112,112,40,False,not_applicable,40,0.0007198000021162443,False,not_applicable,40,0.0009853000010480173,False,not_applicable,40,0.002698100000998238,,,,
bcsstm04,structural_problem,132,132,66,False,not_applicable,66,0.00044550000166054815,False,not_applicable,66,0.0005591999979515094,False,not_applicable,66,0.0012733000003208872,,,,
west0156,chemical_process_simulation_problem,156,371,156,False,not_applicable,156,0.0007468000003427733,False,not_applicable,1,0.001248100001248531,False,not_applicable,156,0.007168299998738803,,,,
west0132,chemical_process_simulation_problem,132,414,126,False,not_applicable,126,0.0006787000020267442,True,solved,0,0.0024641999989398755,True,solved,0,0.012091299999156035,4.930306411192128e-09,69.0,4.930306411192128e-09,69.0
west0167,chemical_process_simulation_problem,167,507,153,False,not_applicable,153,0.0014682999972137623,True,solved,0,0.0025869000019156374,True,solved,0,0.008368499999050982,3.3932968032717016e-09,65.0,3.3932968032717016e-09,65.0
rotor1,structural_problem,100,708,37,False,not_applicable,37,0.0007779000006848946,True,solved,0,0.001999000000068918,True,solved,0,0.006482499997218838,3.171224563719139e-09,27.0,3.171224563719139e-09,27.0
gre_216b,directed_weighted_graph,216,876,64,False,not_applicable,64,0.0015045000000100117,True,did_not_converge,0,0.02703779999865219,True,did_not_converge,0,0.019219599998905323,6.3573271200329185e+32,1512.0,30034504732196.66,372.0
M10PI_n,eigenvalue_model_reduction_problem,682,1633,427,False,not_applicable,427,0.0014980999985709786,False,not_applicable,427,0.010003200000937795,False,not_applicable,427,0.06732780000311323,,,,
S10PI_n,eigenvalue_model_reduction_problem,682,1633,427,False,not_applicable,427,0.001419000000169035,False,not_applicable,427,0.009795100002520485,False,not_applicable,427,0.05856610000046203,,,,
west0497,chemical_process_simulation_problem,497,1727,491,False,not_applicable,491,0.0017407999985152856,True,solved,0,0.008922099998017075,True,solved,0,0.058015399998112116,3.5115914178404477e-09,125.0,3.5115914178404477e-09,125.0
nnc261,2d_3d_problem,261,1500,111,False,not_applicable,111,0.0015753000006952789,True,did_not_converge,0,0.24135670000032405,True,did_not_converge,0,0.23248249999960535,1151837672.890677,20000.0,280066430.4139741,20000.0
west0479,chemical_process_simulation_problem,479,1910,471,False,not_applicable,471,0.0020760000006703194,True,solved,0,0.01544379999904777,True,solved,0,0.053660400000808295,4.824728932343393e-09,561.0,4.824728932343393e-09,561.0
USAir97,undirected_weighted_graph,332,4252,332,False,not_applicable,332,0.002110599998559337,False,not_applicable,332,0.0058731999997689854,False,not_applicable,332,0.029554799999459647,,,,
oscil_dcop_56,circuit_simulation_problem,430,1544,64,False,not_applicable,64,0.0015922000020509586,True,did_not_converge,0,0.09777150000081747,True,did_not_converge,0,0.07201900000291062,1.3011568389737743e+147,6438.0,1.3504297115811043e+147,3356.0
oscil_dcop_54,circuit_simulation_problem,430,1544,64,False,not_applicable,64,0.0016023999996832572,True,did_not_converge,0,0.12663099999917904,True,diverged,0,0.256685500000458,2.5103215150388425e+147,8556.0,,20000.0
oscil_dcop_57,circuit_simulation_problem,430,1544,64,False,not_applicable,64,0.00174939999851631,True,did_not_converge,0,0.2317884000003687,True,did_not_converge,0,0.0671137000026647,26388801701312.594,20000.0,1.526096105271284e+148,3260.0
oscil_dcop_51,circuit_simulation_problem,430,1544,64,False,not_applicable,64,0.0016689000003680121,True,did_not_converge,0,0.13850879999881727,True,diverged,0,0.6744217000014032,8.99023103231684e+146,10158.0,,20000.0
oscil_dcop_50,circuit_simulation_problem,430,1544,64,False,not_applicable,64,0.0014890000020386651,True,did_not_converge,0,0.2488139000015508,True,did_not_converge,0,0.13285499999983585,3.1987185463388946e+147,9740.0,1.6953769934281114e+148,2896.0
oscil_dcop_52,circuit_simulation_problem,430,1544,64,False,not_applicable,64,0.0014856999987387098,True,did_not_converge,0,0.1660052999977779,True,diverged,0,0.546572199997172,3.0715774089698007e+147,6748.0,,20000.0
