domain,matrix,n,nnz,density,condition_number,condition_method,ill_conditioned,cancellation_ratio,method,family,refinement_passes,runtime_sec,iterations,matvecs,tri_solves,precond_applies,setup_sec,status,residual_abs,error_abs,residual_rel,error_rel,reported_converged,accurate,note
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,SOR (adaptive w),pipeline,0,0.00964556700000685,44.0,104.0,43.0,0.0,0.0,did_not_converge,226207091198950.44,7759474124794.967,1217529376599.3289,3470142322538.4463,False,False,
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,Jacobi + reordered,pipeline,0,0.018701552000038646,512.0,512.0,0.0,0.0,0.014197868999985985,did_not_converge,7386294547960.837,1559849099648.6719,39755741293.0453,697585724291.2546,False,False,
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,Gauss-Seidel + reordered,pipeline,0,0.011706457000002501,331.0,331.0,330.0,0.0,0.0065719840000042495,did_not_converge,19291079201529.254,4062966949917.796,103831650500.77426,1817014058070.2349,False,False,
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,SOR + reordered,pipeline,0,0.009766565999996146,73.0,73.0,72.0,0.0,0.008155235000003813,did_not_converge,246973605608667.47,1548682089058.7034,1329302359530.118,692591685334.3287,False,False,
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,SOR + pipeline,pipeline,0,0.011954937000041355,331.0,391.0,330.0,0.0,0.006408373999988726,did_not_converge,19291079201529.254,4062966949917.796,103831650500.77426,1817014058070.2349,False,False,
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,ILU-BiCGSTAB + reordered,pipeline,0,0.006688744000030056,1.0,1.0,0.0,1.0,0.006561713999985841,solved,4.9227844771419234e-14,1.2658490090568385e-15,2.6496228229715497e-16,5.661048867003676e-16,True,True,
random_matrices,rand_001_n5,5.0,25.0,1.0,68.44243734577962,exact_svd,False,0.3170483615281568,ILU-Krylov + reordered,pipeline,0,0.006624013999953604,1.0,1.0,0.0,1.0,0.006196633999991263,solved,4.9227844771419234e-14,1.2658490090568385e-15,2.6496228229715497e-16,5.661048867003676e-16,True,True,
chemical_process_simulation_problem,b1_ss,7.0,15.0,0.30612244897959184,197.3731814661765,exact_svd,False,0.8706024047990635,SOR (adaptive w),pipeline,0,,,,,,,not_applicable,,,,,,False,SOR (adaptive) needs a nonzero diagonal (1 zero entries)
chemical_process_simulation_problem,b1_ss,7.0,15.0,0.30612244897959184,197.3731814661765,exact_svd,False,0.8706024047990635,Jacobi + reordered,pipeline,0,0.008346103999997467,85.0,85.0,0.0,0.0,0.007529284999975516,solved,3.1989264113840475e-08,4.865508030330481e-07,8.773587833960819e-09,1.8389891786060235e-07,True,True,
chemical_process_simulation_problem,b1_ss,7.0,15.0,0.30612244897959184,197.3731814661765,exact_svd,False,0.8706024047990635,Gauss-Seidel + reordered,pipeline,0,0.006332984000039232,52.0,52.0,51.0,0.0,0.005056703000036578,solved,1.7839294010162502e-08,4.855112430426022e-07,4.892723144146796e-09,1.8350600111665198e-07,True,True,
