method,0,1,2
BiCGSTAB,2.6054581274987132e-06,3.407685179684214e-13,2.154979670669586e-13
Cholesky,4.537446258486693e-14,4.873049633202902e-14,7.525295922645535e-14
Conjugate Gradient,5.083651289737257e-06,2.553350350585434e-13,2.1419085725960328e-13
GMRES(30),4.587198310440606e-07,2.9744505884013975e-14,5.747478109684518e-14
Gauss elimination,3.0168279080821747e-12,5.526628507528354e-13,3.6755535650729805e-13
Gauss-Jordan,8.580413400908884e-13,1.7301119451871733e-13,1.6123208486647913e-13
Gauss-Seidel,4.4292041724662415e-08,5.256198352954315e-15,1.3484582223433375e-14
ILU only,1.3284824827943453e-14,8.907596877171227e-15,1.7887445773836694e-13
ILU-BiCGSTAB,3.264937070062137e-07,6.134628201984947e-14,5.019450656843307e-14
ILU-GMRES(30),3.720784984217373e-09,4.730595299115792e-14,4.6933575949143774e-14
ILU-Krylov (dispatched),2.8094723215968456e-07,7.111218457740434e-14,5.019450656843307e-14
Jacobi,1.8929473170130735e-08,6.984765433271652e-16,4.177044117828815e-16
LU,3.4406253352891855e-12,6.093033615832758e-13,4.3598745902744297e-13
SOR,3.417317482591896e-08,9.746466221906828e-15,2.3093234004259916e-15
splu (SuperLU),4.8793144534052735e-12,6.098788456538993e-13,5.733699327623025e-13
spsolve (SuperLU),4.8793144534052735e-12,6.098788456538993e-13,5.733699327623025e-13
