domain,matrix,n,nnz,density,condition_number,condition_method,ill_conditioned,cancellation_ratio,method,family,refinement_passes,runtime_sec,iterations,matvecs,tri_solves,precond_applies,setup_sec,status,residual_abs,error_abs,residual_rel,error_rel,reported_converged,accurate,note
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss elimination,direct-handwritten,0,0.0017688599999701182,12.0,0.0,0.0,0.0,0.0,solved,2.4265970701646617e-13,5.0621787273898975e-15,3.814804392487818e-16,1.4039957667051784e-15,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss elimination,direct-handwritten,1,0.0006702700000005279,24.0,1.0,0.0,0.0,0.0,solved,7.384176715712886e-14,3.3288181878898703e-15,1.1608515528330506e-16,9.232480510103114e-16,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss elimination,direct-handwritten,2,0.0006010099999684826,24.0,2.0,0.0,0.0,0.0,solved,7.384176715712886e-14,3.3288181878898703e-15,1.1608515528330506e-16,9.232480510103114e-16,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss-Jordan,direct-handwritten,0,0.0002513300000259733,13.0,0.0,0.0,0.0,0.0,solved,8.679462022786075e-13,4.570830125558456e-15,1.3644807477950489e-15,1.2677201837797322e-15,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss-Jordan,direct-handwritten,1,0.0005181899999797679,26.0,1.0,0.0,0.0,0.0,solved,1.161715643628899e-13,1.903635937714726e-15,1.8263097712537061e-16,5.279736140958783e-16,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss-Jordan,direct-handwritten,2,0.0005028499999752967,26.0,2.0,0.0,0.0,0.0,solved,1.161715643628899e-13,1.903635937714726e-15,1.8263097712537061e-16,5.279736140958783e-16,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,LU,direct-handwritten,0,0.00037057999998069135,12.0,0.0,0.0,0.0,0.0,solved,2.454009810586992e-13,6.131407058289218e-15,3.8578994097277994e-16,1.7005463491848922e-15,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,LU,direct-handwritten,1,0.0007080000000314612,24.0,1.0,0.0,0.0,0.0,solved,1.0618097785111371e-13,5.1359065916669066e-15,1.6692497723884343e-16,1.4244441970960405e-15,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,LU,direct-handwritten,2,0.0006770709999841529,24.0,2.0,0.0,0.0,0.0,solved,1.0618097785111371e-13,5.1359065916669066e-15,1.6692497723884343e-16,1.4244441970960405e-15,,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Cholesky,direct-handwritten,0,,,,,,,not_applicable,,,,,,False,matrix is not symmetric
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Cholesky,direct-handwritten,1,,,,,,,not_applicable,,,,,,False,matrix is not symmetric
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Cholesky,direct-handwritten,2,,,,,,,not_applicable,,,,,,False,matrix is not symmetric
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,spsolve (SuperLU),direct-library,0,0.008992728999999144,1.0,0.0,2.0,0.0,0.00897860899999614,solved,1.3321492004971471e-13,2.3914935841127266e-15,2.0942449341871208e-16,6.63280980189353e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,spsolve (SuperLU),direct-library,1,0.00043634000002157336,1.0,1.0,2.0,0.0,0.00032119999997348714,solved,1.3321492004971471e-13,2.3914935841127266e-15,2.0942449341871208e-16,6.63280980189353e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,spsolve (SuperLU),direct-library,2,0.00020360000002028755,1.0,1.0,2.0,0.0,0.00015780000001086592,solved,1.3321492004971471e-13,2.3914935841127266e-15,2.0942449341871208e-16,6.63280980189353e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,splu (SuperLU),direct-library,0,0.0001466800000002877,1.0,0.0,2.0,0.0,0.00012806999995973456,solved,1.3321492004971471e-13,2.3914935841127266e-15,2.0942449341871208e-16,6.63280980189353e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,splu (SuperLU),direct-library,1,0.0007900200000108271,1.0,1.0,2.0,0.0,0.0005242899999871042,solved,1.3321492004971471e-13,2.3914935841127266e-15,2.0942449341871208e-16,6.63280980189353e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,splu (SuperLU),direct-library,2,0.00019738000003144407,1.0,1.0,2.0,0.0,0.00012778000001389955,solved,1.3321492004971471e-13,2.3914935841127266e-15,2.0942449341871208e-16,6.63280980189353e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Jacobi,stationary,0,0.00029412999998612577,5.0,5.0,0.0,0.0,0.0,did_not_converge,34788341.51879335,152419.34227562408,54690.05120996617,42273.51953440452,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Jacobi,stationary,1,0.00017877999999882377,10.0,11.0,0.0,0.0,0.0,did_not_converge,2613954797169.0474,12319690549.106739,4109345702.5102377,3416867382.5118046,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Jacobi,stationary,2,0.0002622499999915817,15.0,17.0,0.0,0.0,0.0,did_not_converge,1.3439969580752786e+17,619490302622655.5,211287055531140.56,171815696212206.78,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss-Seidel,stationary,0,0.0024569500000097833,3.0,3.0,2.0,0.0,0.0,did_not_converge,83021647699.68811,425681173.8497981,130516660.6398545,118062715.33193444,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss-Seidel,stationary,1,0.0014967000000183361,5.0,6.0,3.0,0.0,0.0,did_not_converge,1462859062603744.5,7500572165628.045,2299731276454.85,2080284426037.6843,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Gauss-Seidel,stationary,2,0.0019777900000121917,7.0,9.0,4.0,0.0,0.0,did_not_converge,2.577576089278841e+19,1.3216102392824434e+17,4.0521554683511016e+16,3.665487295316217e+16,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,SOR,stationary,0,0.0006058399999915309,2.0,2.0,1.0,0.0,0.0,did_not_converge,49551448.14414234,253409.91325806905,77898.8338684426,70283.26430483459,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,SOR,stationary,1,0.001262390000022151,4.0,5.0,2.0,0.0,0.0,did_not_converge,7250471472457.706,37076797221.71534,11398320207.673542,10283253347.144264,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,SOR,stationary,2,0.001966379999998935,6.0,8.0,3.0,0.0,0.0,did_not_converge,1.0607958992563547e+18,5424600400747739.0,1667655873227279.5,1504513453369113.8,False,False,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Conjugate Gradient,krylov,0,,,,,,,not_applicable,,,,,,False,Conjugate Gradient needs a symmetric matrix
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Conjugate Gradient,krylov,1,,,,,,,not_applicable,,,,,,False,Conjugate Gradient needs a symmetric matrix
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,Conjugate Gradient,krylov,2,,,,,,,not_applicable,,,,,,False,Conjugate Gradient needs a symmetric matrix
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,BiCGSTAB,krylov,0,0.0007766699999933735,39.0,39.0,0.0,0.0,0.0,solved,3.1993454270709804e-08,2.1243780089391684e-10,5.029626524459623e-11,5.891964492075591e-11,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,BiCGSTAB,krylov,1,0.0015679300000215335,88.0,89.0,0.0,0.0,0.0,solved,1.4322548299575461e-13,2.871595662674045e-15,2.251618978553034e-16,7.964373387824049e-16,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,BiCGSTAB,krylov,2,0.001671568999995543,98.0,100.0,0.0,0.0,0.0,solved,3.679417795119347e-13,3.9471512357794175e-15,5.784338627618416e-16,1.0947427825087493e-15,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,GMRES(30),krylov,0,0.005795059999968544,14.0,14.0,0.0,0.0,0.0,solved,2.1343650005259877e-13,6.634453505828769e-15,3.3553922401407574e-16,1.840066330765189e-15,True,True,
random_matrices,rand_009_n13,13.0,169.0,1.0,36.55915671527328,exact_svd,False,0.27790109094516907,GMRES(30),krylov,1,0.002841330000023845,28.0,29.0,0.0,0.0,0.0,solved,1.4313733066674157e-13,4.406061034464155e-15,2.250233153538813e-16,1.2220214601988014e-15,True,True,
