matrix,method,best,mc64,none
1138_bus,Gauss-Seidel,False,False,False
1138_bus,Jacobi,False,False,False
1138_bus,SOR,False,False,False
494_bus,Gauss-Seidel,False,False,False
494_bus,Jacobi,False,False,False
494_bus,SOR,False,False,False
662_bus,Gauss-Seidel,False,False,False
662_bus,Jacobi,False,False,False
662_bus,SOR,False,False,False
685_bus,Gauss-Seidel,False,False,False
685_bus,Jacobi,False,False,False
685_bus,SOR,False,False,False
ACTIVSg2000,Gauss-Seidel,False,False,False
ACTIVSg2000,Jacobi,False,False,False
ACTIVSg2000,SOR,False,False,False
Binaryalphadigs_10NN,Gauss-Seidel,False,False,False
Binaryalphadigs_10NN,Jacobi,False,False,False
Binaryalphadigs_10NN,SOR,False,False,False
Chebyshev1,Gauss-Seidel,True,True,False
Chebyshev1,Jacobi,False,False,False
Chebyshev1,SOR,False,False,False
Chebyshev2,Gauss-Seidel,False,True,False
Chebyshev2,Jacobi,False,False,False
Chebyshev2,SOR,False,False,False
Chebyshev3,Gauss-Seidel,True,True,False
Chebyshev3,Jacobi,False,False,False
Chebyshev3,SOR,False,False,False
Chem97ZtZ,Gauss-Seidel,True,True,True
Chem97ZtZ,Jacobi,True,True,True
Chem97ZtZ,SOR,True,True,True
DK01R,Gauss-Seidel,False,False,False
DK01R,Jacobi,False,False,False
DK01R,SOR,False,False,False
Ecoli_10NN,Gauss-Seidel,False,False,False
Ecoli_10NN,Jacobi,False,False,False
Ecoli_10NN,SOR,False,False,False
Fashion_MNIST_norm_10NN,Gauss-Seidel,False,False,False
Fashion_MNIST_norm_10NN,Jacobi,False,False,False
Fashion_MNIST_norm_10NN,SOR,False,False,False
GT01R,Gauss-Seidel,False,False,False
GT01R,Jacobi,False,False,False
GT01R,SOR,False,False,False
Glass_10NN,Gauss-Seidel,False,False,False
Glass_10NN,Jacobi,False,False,False
Glass_10NN,SOR,False,False,False
Goodwin_010,Gauss-Seidel,False,False,False
Goodwin_010,Jacobi,False,False,False
Goodwin_010,SOR,False,False,False
Goodwin_013,Gauss-Seidel,False,False,False
Goodwin_013,Jacobi,False,False,False
Goodwin_013,SOR,False,False,False
Goodwin_017,Gauss-Seidel,False,False,False
Goodwin_017,Jacobi,False,False,False
Goodwin_017,SOR,False,False,False
Goodwin_023,Gauss-Seidel,False,False,False
Goodwin_023,Jacobi,False,False,False
Goodwin_023,SOR,False,False,False
Hamrle1,Gauss-Seidel,False,False,False
Hamrle1,Jacobi,False,False,False
Hamrle1,SOR,False,False,False
Hamrle2,Gauss-Seidel,False,False,False
Hamrle2,Jacobi,False,False,False
Hamrle2,SOR,False,False,False
JapaneseVowelsSmall_10NN,Gauss-Seidel,False,False,False
JapaneseVowelsSmall_10NN,Jacobi,False,False,False
JapaneseVowelsSmall_10NN,SOR,False,False,False
Kaufhold,Gauss-Seidel,True,True,False
Kaufhold,Jacobi,True,True,False
Kaufhold,SOR,False,False,False
Kuu,Gauss-Seidel,False,False,False
Kuu,Jacobi,False,False,False
Kuu,SOR,False,False,False
LF10,Gauss-Seidel,False,False,False
LF10,Jacobi,False,False,False
LF10,SOR,True,True,True
LFAT5,Gauss-Seidel,True,True,True
LFAT5,Jacobi,True,True,True
LFAT5,SOR,True,True,True
LeGresley_2508,Gauss-Seidel,False,False,False
LeGresley_2508,Jacobi,False,False,False
LeGresley_2508,SOR,False,False,False
LeGresley_4908,Gauss-Seidel,False,False,False
LeGresley_4908,Jacobi,False,False,False
LeGresley_4908,SOR,False,False,False
M10PI_n,Gauss-Seidel,False,False,False
M10PI_n,Jacobi,False,False,False
M10PI_n,SOR,False,False,False
M20PI_n,Gauss-Seidel,False,False,False
M20PI_n,Jacobi,False,False,False
M20PI_n,SOR,False,False,False
M40PI_n,Gauss-Seidel,False,False,False
M40PI_n,Jacobi,False,False,False
M40PI_n,SOR,False,False,False
M80PI_n,Gauss-Seidel,False,False,False
M80PI_n,Jacobi,False,False,False
M80PI_n,SOR,False,False,False
MISKnowledgeMap,Gauss-Seidel,False,False,False
MISKnowledgeMap,Jacobi,False,False,False
MISKnowledgeMap,SOR,False,False,False
Muu,Gauss-Seidel,True,True,True
Muu,Jacobi,True,True,True
Muu,SOR,True,True,True
Na5,Gauss-Seidel,False,False,False
Na5,Jacobi,False,False,False
Na5,SOR,False,False,False
Olivetti_norm_10NN,Gauss-Seidel,False,False,False
Olivetti_norm_10NN,Jacobi,False,False,False
Olivetti_norm_10NN,SOR,False,False,False
Pd,Gauss-Seidel,True,True,True
Pd,Jacobi,True,True,True
Pd,SOR,False,False,False
Plants_10NN,Gauss-Seidel,False,False,False
Plants_10NN,Jacobi,False,False,False
Plants_10NN,SOR,False,False,False
S10PI_n,Gauss-Seidel,False,False,False
S10PI_n,Jacobi,False,False,False
S10PI_n,SOR,False,False,False
S20PI_n,Gauss-Seidel,False,False,False
S20PI_n,Jacobi,False,False,False
S20PI_n,SOR,False,False,False
S40PI_n,Gauss-Seidel,False,False,False
S40PI_n,Jacobi,False,False,False
S40PI_n,SOR,False,False,False
S80PI_n,Gauss-Seidel,False,False,False
S80PI_n,Jacobi,False,False,False
S80PI_n,SOR,False,False,False
Si2,Gauss-Seidel,False,False,False
Si2,Jacobi,False,False,False
Si2,SOR,False,False,False
SiH4,Gauss-Seidel,False,False,False
SiH4,Jacobi,False,False,False
SiH4,SOR,False,False,False
SiNa,Gauss-Seidel,False,False,False
SiNa,Jacobi,False,False,False
SiNa,SOR,False,False,False
Sieber,Gauss-Seidel,False,False,False
Sieber,Jacobi,False,False,False
Sieber,SOR,False,False,False
Spectro_10NN,Gauss-Seidel,False,False,False
Spectro_10NN,Jacobi,False,False,False
Spectro_10NN,SOR,False,False,False
TS,Gauss-Seidel,False,False,False
TS,Jacobi,False,False,False
TS,SOR,False,False,False
TSC_OPF_1047,Gauss-Seidel,False,False,False
TSC_OPF_1047,Jacobi,False,False,False
TSC_OPF_1047,SOR,False,False,False
TSC_OPF_300,Gauss-Seidel,False,False,False
TSC_OPF_300,Jacobi,False,False,False
TSC_OPF_300,SOR,False,False,False
TSOPF_FS_b9_c1,Gauss-Seidel,False,False,False
TSOPF_FS_b9_c1,Jacobi,False,False,False
TSOPF_FS_b9_c1,SOR,False,False,False
TSOPF_RS_b162_c1,Gauss-Seidel,False,False,False
TSOPF_RS_b162_c1,Jacobi,False,False,False
TSOPF_RS_b162_c1,SOR,False,False,False
TSOPF_RS_b9_c6,Gauss-Seidel,False,False,False
TSOPF_RS_b9_c6,Jacobi,False,False,False
TSOPF_RS_b9_c6,SOR,False,False,False
USAir97,Gauss-Seidel,False,False,False
USAir97,Jacobi,False,False,False
USAir97,SOR,False,False,False
Vehicle_10NN,Gauss-Seidel,False,False,False
Vehicle_10NN,Jacobi,False,False,False
Vehicle_10NN,SOR,False,False,False
YaleA_10NN,Gauss-Seidel,False,False,False
YaleA_10NN,Jacobi,False,False,False
YaleA_10NN,SOR,False,False,False
YaleB_10NN,Gauss-Seidel,False,False,False
YaleB_10NN,Jacobi,False,False,False
YaleB_10NN,SOR,False,False,False
add20,Gauss-Seidel,False,False,False
add20,Jacobi,False,False,False
add20,SOR,True,True,True
add32,Gauss-Seidel,True,True,True
