matrix,domain,n,nnz,chosen,rho_portfolio,rho_searched,crossed,evals,search_sec,worst_ratio_portfolio,worst_ratio_searched
rand_001_n5,random_matrices,5,25,mc64,1.0948621533733944,0.5724523590854982,True,22,0.015900300000794232,3.9961143643149173,4.692098360574862
rand_003_n7,random_matrices,7,49,bottleneck,1.3967533974323942,1.3967533974323942,False,22,0.01487940000515664,3.8896445288792,3.8896445288792
rand_004_n8,random_matrices,8,64,bottleneck,1.6665063457932996,1.6665063457932996,False,29,0.019695899994985666,5.167430623905093,5.167430623905093
rand_005_n9,random_matrices,9,81,bottleneck,2.3230628935031366,2.2947290810366243,False,62,0.04540170000109356,5.697150992837033,8.140601335479639
d_ss,chemical_process_simulation_problem,53,149,mc64,1.8843088391738874,1.1335085783735435,False,7,0.007065499994496349,84.3157894736842,84.3157894736842
Hamrle1,circuit_simulation_problem,32,98,minsum,1.1530737865419143,0.9719972636298588,True,7,0.005531499999051448,1041.0,1041.0
rand_006_n10,random_matrices,10,100,bottleneck,3.3129758697427354,1.5151364827835765,False,63,0.05146519999834709,7.907217609116314,7.907217609116314
rand_007_n11,random_matrices,11,121,mc64,2.4700617309754604,1.3914478880434311,False,80,0.061405599997669924,6.776413528161432,21.31885899453422
rand_008_n12,random_matrices,12,144,bottleneck,4.619879317751486,1.5293390993104987,False,96,0.07241810000414262,6.855888291410997,11.599906908601122
d_dyn1,chemical_process_simulation_problem,87,238,mc64,0.9697837914946058,0.9697837914946058,False,3,0.002356800003326498,77.70100456087529,77.70100456087529
rand_009_n13,random_matrices,13,169,mc64,3.217373861818937,1.8661288446975175,False,171,0.12859849999949802,7.54739440772467,26.58468331412096
rand_010_n13,random_matrices,13,169,bottleneck,2.981482445282927,1.6831443922967444,False,195,0.15701149999949848,7.5679563916038965,21.13557832233808
west0067,chemical_process_simulation_problem,67,294,minsum,2.25959462694275,1.8201929439366298,False,41,0.03283419999934267,20.69615889722786,20.69615889722786
impcol_c,chemical_process_simulation_problem,137,411,mc64,1.7523531782212214,1.2111956611692059,False,13,0.010792300003231503,7.0,7.0
d_dyn,chemical_process_simulation_problem,87,238,mc64,0.970396668290465,0.970396668290465,False,3,0.0024542999963159673,77.7010144585611,77.7010144585611
rand_012_n15,random_matrices,15,225,bottleneck,8.75842174153505,2.1707000314284413,False,139,0.10488749999785796,9.914008929368933,15.846006184058147
rand_013_n16,random_matrices,16,256,mc64,6.561962542630569,3.4087555940151444,False,152,0.11556180000479799,11.04201506694717,20.140400534177605
rand_014_n17,random_matrices,17,289,mc64,5.325562138740025,4.1742150779008576,False,315,0.2365334999994957,10.573374987456443,46.44249741046998
gre_115,directed_weighted_graph,115,421,mc64,0.7301740221257239,0.7301740221257239,False,24,0.021743499994045123,5.599978660746926,5.599978660746926
olm100,computational_fluid_dynamics_problem,100,396,mc64,1.012046940810292,1.012046940810292,False,100,0.10716739999770653,1.2123142506745188,1.2123142506745188
rand_015_n18,random_matrices,18,324,mc64,4.885697009018722,3.0926603719544956,False,214,0.1606554000027245,13.498797617576813,30.57598372598145
impcol_a,chemical_process_simulation_problem,207,572,mc64,1.2111635486012997,0.2526681372159748,True,33,0.028207800001837313,1430.6800354704726,1430.6800354704726
bfwa62,electromagnetics_problem,62,450,none,1.1848565493136562,1.1848565493136562,False,189,0.14900379999744473,2.2215109518534617,2.2215109518534617
rw136,statistical_mathematical_problem,136,479,mc64,3.8668645411239915,3.8668645411239915,False,1,0.0008553000006941147,28.000000018,28.000000018
lns_131,computational_fluid_dynamics_problem,131,536,mc64,1.1703093865737897,1.169944846487883,False,88,0.08780120000301395,11093.117277801257,11093.117277801257
lnsp_131,computational_fluid_dynamics_problem,131,536,minsum,2.4828783389846,2.0189365431880417,False,77,0.17044570000143722,11093.117277801259,11093.117277801259
gre_216a,directed_weighted_graph,216,876,bottleneck,5.714826544489458,5.714826544489458,False,1,0.0011595000032684766,3.0,3.0
gre_216b,directed_weighted_graph,216,876,minsum,1.6504146514501925,1.6504146514501925,False,1,0.0013324999963515438,103.0,103.0
gre_185,directed_weighted_graph,185,1005,mc64,6.034891527658544,1.3358180538381481,False,400,0.6047145999982604,4.1422789265288165,4.1422789265288165
robot,robotics_problem,120,870,mc64,1.286098828458145,1.286098828458145,False,48,0.07873390000168001,668414.1204299259,668414.1204299259
impcol_d,chemical_process_simulation_problem,425,1339,mc64,1.2522720491782136,1.2332028054582538,False,14,0.037961099995300174,9.0,9.0
rdb200,computational_fluid_dynamics_problem,200,1120,none,3.9048911983811885,3.7064595921042205,False,73,0.11068710000108695,3.5652701882210076,6.767561983471075
spaceStation_1,optimal_control_problem,99,927,minsum,1.8775499356450325,1.8775499356450325,False,96,0.18412499999976717,524593158656.04016,524593158656.04016
gre_343,directed_weighted_graph,343,1435,bottleneck,6.34129922947178,6.34129922947178,False,1,0.003412999998545274,3.0,3.0
lop163,statistical_mathematical_problem,163,935,mc64,3.3732209033659313,2.9653866993082576,False,194,0.3764246000064304,6.000000000021,6.000000000021
breasttissue_10NN,undirected_weighted_graph,106,1412,mc64,5.908582757074088,3.9998438360005553,False,389,0.7068889000001946,30.115707480277273,92.5449897146312
plskz362,2d_3d_problem,362,1760,bottleneck,3.2802300423977337,2.249532043475106,False,36,0.1054606000034255,218.52296540897308,227.3384858840306
gre_512,directed_weighted_graph,512,2192,mc64,6.525690500654014,6.525690500654014,False,1,0.012714999997115228,3.0,3.0
west0497,chemical_process_simulation_problem,497,1727,mc64,1.595615482627699,1.5956142997223908,False,11,0.036041999999724794,46181.85760834756,46181.85760834756
nnc261,2d_3d_problem,261,1500,minsum,7.655026790425599,3.6809295650817737,False,82,0.16347449999739183,38346000000.0138,38346000000.0138
west0479,chemical_process_simulation_problem,479,1910,mc64,1.6124033077977546,1.3143949911808588,False,85,0.18834810000407742,117931.06745064295,117931.06745064295
tumorAntiAngiogenesis_1,optimal_control_problem,205,1783,mc64,1.179524852066407,1.179524852066407,False,321,0.5952581000019563,54.102629523939555,54.102629523939555
rw496,statistical_mathematical_problem,496,1859,mc64,3.6922454206858046,3.6922454206858046,False,1,0.0019030000039492734,58.999999904000006,58.999999904000006
oscil_dcop_06,circuit_simulation_problem,430,1544,mc64,0.9996582241648062,0.993277701022336,False,400,0.9925655999977607,400001.0000076164,400001.0000076164
oscil_dcop_01,circuit_simulation_problem,430,1544,mc64,0.9996829782984652,0.9924664609586956,False,400,0.856693699999596,400001.0000076164,400001.0000076164
oscil_dcop_02,circuit_simulation_problem,430,1544,mc64,1.007399103843021,0.9997009202548235,True,400,0.979563999993843,400001.0000076164,400001.0000076164
oscil_dcop_04,circuit_simulation_problem,430,1544,mc64,0.9998893078003923,0.9968773507127002,False,400,1.197398800002702,400001.0000076164,400001.0000076164
oscil_dcop_03,circuit_simulation_problem,430,1544,mc64,0.999746005888075,0.9889374966665442,False,400,1.1116100999934133,400001.0000076164,400001.0000076164
YaleA_10NN,undirected_weighted_graph,165,2268,mc64,5.506209661757533,2.168359108008183,False,400,0.7278561999992235,23.29560830516955,45.14792121782334
west0381,chemical_process_simulation_problem,381,2157,mc64,1.8681996953918703,1.2345177112295613,False,400,0.8555110000015702,1516.25,1516.25
olm500,computational_fluid_dynamics_problem,500,1996,mc64,0.9949940131160525,0.9949940131160525,False,400,1.9033200000048964,1.2218131712497315,1.2218131712497315
oscil_trans_01,circuit_simulation_problem,430,1614,mc64,1.042060679778901,1.0098709631823366,False,213,0.8107878000009805,30292.55319148963,200001.0012121206
saylr3,computational_fluid_dynamics_problem,1000,3750,none,0.9859032510218636,0.9844471089051408,False,400,1.2377548000004026,1.0005793303964756,3.0000099734513275
rdb450l,computational_fluid_dynamics_problem,450,2580,mc64,2.450864183290659,2.450864183290659,False,400,0.9288328999973601,3.7401834862385326,3.7401834862385326
dermatology_5NN,undirected_weighted_graph,366,2440,mc64,3.8192551858809405,2.376234570536375,False,265,0.7304529000030016,19.203742178654778,29.321676788306302
rdb450,computational_fluid_dynamics_problem,450,2580,none,1.4133598699649086,1.4133598699649086,False,400,1.114151599998877,1.7080610021786493,1.7080610021786493
ww_36_pmec_36,eigenvalue_model_reduction_problem,66,1194,mc64,1.1685673452506236,0.7503990318558006,True,400,0.8849135999989812,14.737045790715092,12.447896433998368
Glass_10NN,undirected_weighted_graph,214,2986,minsum,5.070177749963447,2.977417348553126,False,110,0.2444173000039882,77.51657391498712,108.3665450409591
str_200,optimization_problem,363,3068,mc64,1.3257176354080629,1.3257176354080629,False,123,0.3459436999983154,17.61634,17.61634
tumorAntiAngiogenesis_2,optimal_control_problem,305,2699,mc64,3.2002811431577745,2.9650288351123666,False,400,1.0401141999973333,202.93989103569209,202.93989103569209
qh768,power_network_problem,768,2934,mc64,2.3869311019538557,2.384622459785255,False,400,1.2381639999948675,4734873604.074379,4734873604.074379
str_400,optimization_problem,363,3157,mc64,0.994754021397957,0.994754021397957,False,181,0.3716102999969735,73.88915808600848,73.88915808600848
west0655,chemical_process_simulation_problem,655,2854,minsum,1.448364943971093,1.1447390825574666,False,285,0.6128892000051565,117931.06745064295,117931.06745064295
str_600,optimization_problem,363,3279,minsum,1.2899072988781277,1.2899072988781277,False,326,0.7347787999970024,51.46801342539802,51.46801342539802
bp_200,optimization_problem,822,3802,mc64,1.552566233909783,1.2214369572376773,False,204,0.5600169999961508,525.5133997,525.5133997
orbitRaising_1,optimal_control_problem,442,2906,mc64,2.037323728165718,2.037323728165718,False,400,0.8020969000062905,2682.431013440741,2682.431013440741
bp_400,optimization_problem,822,4028,mc64,1.9506081087095537,1.9061236559215453,False,187,0.3733712999965064,509.5219995,509.5219995
bp_600,optimization_problem,822,4172,mc64,1.7552255539781028,0.5287945935616368,True,179,0.5042957999976352,516.9008997,516.9008997
qh882,power_network_problem,882,3354,minsum,3.061556858509319,3.055365521513424,False,400,0.9272073000029195,17730178519.324123,17730178519.324123
young3c,acoustics_problem,841,3988,mc64,1.5913075514417647,0.7139564274479056,True,201,0.43340339999849675,2.4897413221384044,6.228000000000001
hangGlider_1,optimal_control_problem,360,3477,mc64,1.4135668566871045,1.1298271451585051,False,400,1.038048800000979,2172.0133018418196,2172.0133018418196
lns_511,computational_fluid_dynamics_problem,511,2796,minsum,1.169327402197797,1.139116392648703,False,400,0.5310132000013255,1788.1670069097274,1788.1670069097274
west0989,chemical_process_simulation_problem,989,3537,mc64,1.8363152448344044,0.9988760883038782,True,73,0.12016880000010133,117931.06745064295,117931.06745064295
lnsp_511,computational_fluid_dynamics_problem,511,2796,mc64,1.8546861555305323,1.8540728455001105,False,400,0.46179610000399407,1788.1670069097277,1788.1670069097277
bp_800,optimization_problem,822,4534,mc64,2.2282237660302253,0.9781564735202454,True,400,0.6486335000008694,489.7088995000001,489.7088995000001
b2_ss,chemical_process_simulation_problem,1089,4228,mc64,2.8766391116433554,2.7834953427901743,False,122,0.25871200000256067,100000.0,100000.0
bp_1000,optimization_problem,822,4661,mc64,2.5935446195788665,2.037027951036859,False,138,0.2519211999970139,509.4603996,509.4603996
bp_1200,optimization_problem,822,4726,mc64,2.9455006394492376,2.863366950964988,False,201,0.3598686999976053,498.4116994,498.4116994
bp_1400,optimization_problem,822,4790,minsum,2.9455003059203775,0.5713542362823472,True,109,0.19740119999914896,414.3800000000001,414.3800000000001
bp_1600,optimization_problem,822,4841,mc64,2.094448847558195,0.8672815922292332,True,92,0.1667003999973531,417.05,417.05
bfwa398,electromagnetics_problem,398,3678,none,1.0256418457673693,1.0256418457673693,False,400,0.47844849999819417,2.1320618691366824,2.1320618691366824
tumorAntiAngiogenesis_3,optimal_control_problem,410,3952,mc64,4.424580203075271,4.424298727555695,False,400,0.6929887000005692,1521.3838673228433,1521.3838673228433
dw256A,electromagnetics_problem,512,2480,none,7.214346250854763,7.214248642991605,False,233,0.3110238000008394,5.753932711174882,7.117147114108897
dwa512,electromagnetics_problem,512,2480,none,7.214346250854763,7.214248642991605,False,233,0.3599986999979592,5.753932711174882,7.117147114108897
Ecoli_10NN,undirected_weighted_graph,336,4560,mc64,5.61336613408154,2.380144668710509,False,172,0.2816233999983524,25.792540823089297,55.15864722071404
rdb800l,computational_fluid_dynamics_problem,800,4640,none,5.947890482441981,4.799974749946213,False,101,0.2296985999928438,4.242517267843438,6.744897959183673
olm1000,computational_fluid_dynamics_problem,1000,3996,mc64,0.9941008332744214,0.9941008332744214,False,400,2.1388348000036785,1.2221195530652864,1.2221195530652864
tumorAntiAngiogenesis_4,optimal_control_problem,455,4593,mc64,4.374091045876327,4.374086368345721,False,400,0.6177517000032822,711.088915359787,711.088915359787
tumorAntiAngiogenesis_7,optimal_control_problem,475,4597,mc64,4.375639764444174,4.3756153027706715,False,400,0.5652525999976206,1540.9349489355618,1540.9349489355618
tumorAntiAngiogenesis_5,optimal_control_problem,460,4690,minsum,4.373705547680199,4.370446701351687,False,400,0.6392439999981434,589.1350350372511,589.1350350372511
iris_dataset_30NN,undirected_weighted_graph,150,5518,mc64,4.4694476440848865,1.5650265083457278,False,380,0.5109119999979157,30.836901356037014,239.56666274111936
tumorAntiAngiogenesis_6,optimal_control_problem,465,4795,mc64,4.413142155743898,4.41290154392422,False,400,0.6229538999978104,594.5532516291897,594.5532516291897
tumorAntiAngiogenesis_8,optimal_control_problem,490,4776,mc64,4.378069198217614,4.35726461566306,False,400,0.6587140000046929,18008.451526686735,18008.451526686735
problem1,2d_3d_problem,415,2779,none,0.9949122763542518,0.9949122763542518,False,400,0.5103388999996241,1.1028120573761881,1.1028120573761881
cdde3,computational_fluid_dynamics_problem,961,4681,none,1.0119153491017485,1.0119153491017485,False,400,0.5887819999989006,1.0199203187250996,1.0199203187250996
spaceStation_3,optimal_control_problem,467,5103,mc64,4.256150557873251,2.0245908086413684,False,400,0.65354269999807,84072356.9167511,84072356.9167511
freeFlyingRobot_1,optimal_control_problem,798,5246,minsum,2.761077655194682,1.6349559291810833,False,272,0.42698550000204705,481646421704.0112,3341051500699.2046
rdb968,computational_fluid_dynamics_problem,968,5632,none,3.5475727034379414,2.8893609646207263,False,307,0.5298142000028747,3.105132037867464,6.946055045871558
Olivetti_norm_10NN,undirected_weighted_graph,400,5656,mc64,7.837790132756105,1.4819521408378464,False,260,0.4455422999963048,49.07848809142046,74.3627086166935
