matrix,n,rho_portfolio,rho_searched,status_portfolio,status_searched,resid_portfolio,resid_searched,gained,lost
Hamrle1,32,1.1530737865419143,0.9719972636298588,did_not_converge,did_not_converge,1150270732268.446,1304478837842.834,False,False
adder_dcop_02,1813,1.25939584244841,0.9675941335893432,did_not_converge,did_not_converge,145406079725.92935,45135913.55043416,False,False
adder_dcop_19,1813,1.1040319411547062,0.9657027968720066,did_not_converge,did_not_converge,344654803.7462842,1.294537096597815e-07,False,False
adder_dcop_31,1813,1.0562583900869764,0.999569329068715,did_not_converge,did_not_converge,163562765.1712713,5.633457880158598e-08,False,False
adder_dcop_39,1813,1.1663156993800277,0.9758722027079288,did_not_converge,solved,504354394.33682024,9.968792532619775e-09,True,False
bp_1400,822,2.9455003059203775,0.5713542362823472,did_not_converge,did_not_converge,2212611996986.919,3455814439216.007,False,False
bp_1600,822,2.094448847558195,0.8672815922292332,did_not_converge,did_not_converge,1649806218038.6545,1667793783061.7136,False,False
bp_600,822,1.7552255539781028,0.5287945935616368,did_not_converge,did_not_converge,1311314121988.651,1003129769848.1517,False,False
bp_800,822,2.2282237660302253,0.9781564735202454,did_not_converge,did_not_converge,1278958810350.243,1422605748415.2263,False,False
dendrimer,730,1.0102188316818734,0.9864253264999352,did_not_converge,did_not_converge,4652508051.929205,7504267832.4772005,False,False
impcol_a,207,1.2111635486012997,0.2526681372159748,did_not_converge,did_not_converge,1130348570774.5542,274625072809.35617,False,False
mhda416,416,2.0489879975098058,0.140696768167516,did_not_converge,did_not_converge,1249430134958.9756,1571744752167.945,False,False
nasa1824,1824,1.1705965843143982,0.9858225265633163,did_not_converge,did_not_converge,920035754130.551,493288736862.85846,False,False
orbitRaising_3,761,3.599538094603723,0.8987168132087543,did_not_converge,did_not_converge,2189711933586.9592,1130795744773.8274,False,False
oscil_dcop_02,430,1.007399103843021,0.9997009202548235,did_not_converge,did_not_converge,25736491.765557494,24544552.389061343,False,False
rand_001_n5,5,1.0948621533733944,0.5724523590854982,did_not_converge,solved,103831650500.77426,8.006589501613824e-09,True,False
sherman2,1080,1.1685008712592038,0.5880157963834972,did_not_converge,did_not_converge,1677157529778.7349,1103954465872.5735,False,False
utm300,300,3.3465031112307204,0.9191301265954397,did_not_converge,did_not_converge,1014116679456.5148,2280805510435.0874,False,False
west0989,989,1.8363152448344044,0.9988760883038782,did_not_converge,did_not_converge,277621330802.9162,571968234657.1465,False,False
west1505,1505,2.3218821610730997,0.9909064707608696,did_not_converge,did_not_converge,1068479237553.2296,966694470696.5991,False,False
ww_36_pmec_36,66,1.1685673452506236,0.7503990318558006,did_not_converge,did_not_converge,124244505028.39656,118818114241.44324,False,False
young3c,841,1.5913075514417647,0.7139564274479056,did_not_converge,did_not_converge,1198750698389.671,1076428203312.8317,False,False
