domain,matrix,n,nnz,strict_diag_dominant,weak_diag_dominant,l_matrix,symmetric,spd,h_matrix,m_matrix,property_a_proxy,rho_jacobi,rho_gauss_seidel,rho_comparison,hypothesis_class,jacobi_converges_predicted,gs_converges_predicted,jacobi_verdict,gs_verdict,jacobi_iterations_needed,gs_iterations_needed,optimal_omega,rho_jacobi_method,rho_gs_method,status,seconds
random_matrices,rand_001_n5,5.0,25.0,False,False,False,False,False,False,False,False,1.2564001629843287,1.9038686704045613,3.0827177189014696,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.04659311800003252
chemical_process_simulation_problem,b1_ss,7.0,15.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.008670124999980544
random_matrices,rand_002_n6,6.0,36.0,False,False,False,False,False,False,False,False,6.435229267049603,18.622393070663055,9.77068700757663,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.0101343999999699
directed_weighted_graph,cage3,5.0,19.0,False,False,False,False,False,False,False,False,1.128364250384958,0.6297057673394028,1.128364250384958,none,False,True,diverges,converges,inf,39.828274604967994,,exact_eig,exact_eig,analysed,0.00984582300003467
random_matrices,rand_003_n7,7.0,49.0,False,False,False,False,False,False,False,False,30.95978446258981,2589.9825241779677,42.846735750209305,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.008282853999958206
model_reduction_problem,LFAT5,14.0,46.0,False,False,False,True,True,False,False,True,0.9868692825976214,0.9739109809347408,1.3631516758659015,spd,True,True,converges,converges,1393.6387012537268,696.8193506267788,1.7218802558246302,exact_eig,exact_eig,analysed,0.014238984999963122
random_matrices,rand_004_n8,8.0,64.0,False,False,False,False,False,False,False,False,14.062289329112726,1680.0163657928017,21.660922802733158,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.00832420900002262
directed_weighted_graph,cage4,9.0,49.0,False,False,False,False,False,False,False,False,1.169011133896328,0.5486703965502153,1.169011133896328,none,False,True,diverges,converges,inf,30.68797002998572,,exact_eig,exact_eig,analysed,0.009673786000007567
model_reduction_problem,LF10,18.0,82.0,False,False,False,True,True,False,False,True,0.9994055509765215,0.9988114553226835,1.5730955692481259,spd,True,True,too_slow,too_slow,30978.611110755468,15489.305555363695,1.9333473170237732,exact_eig,exact_eig,analysed,0.010121267000045009
random_matrices,rand_005_n9,9.0,81.0,False,False,False,False,False,False,False,False,145.2131121273801,1148623.3735193291,163.96698154139492,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.00836558700001433
structural_problem,bcsstm02,66.0,66.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,0.015212869000038154
chemical_process_simulation_problem,d_ss,53.0,149.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.007635135999976228
structural_problem,bcsstm03,112.0,112.0,False,True,False,True,True,False,False,False,,,,spd,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.012999877999959608
circuit_simulation_problem,Hamrle1,32.0,98.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.007147105000001375
random_matrices,rand_006_n10,10.0,100.0,False,False,False,False,False,False,False,False,6.263939226142487,268.400028324622,15.352804668075214,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01024054000004071
structural_problem,bcsstm04,132.0,132.0,False,True,False,True,True,False,False,False,,,,spd,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.011810083000000304
random_matrices,rand_007_n11,11.0,121.0,False,False,False,False,False,False,False,False,6.1732626266973805,197.08191252244615,13.193547382090312,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.00936415799998258
random_matrices,rand_008_n12,12.0,144.0,False,False,False,False,False,False,False,False,5.594701896974742,1378.5903973278057,13.877517463597506,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.008669902000008278
chemical_process_simulation_problem,d_dyn1,87.0,238.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.008364473000028738
undirected_weighted_graph,GD97_b,47.0,264.0,,,,,,,,,,,,,,,,,,,,,,structurally_singular,0.005264211999985946
structural_problem,mesh1em6,48.0,306.0,True,True,False,True,True,True,False,False,0.6756567745896022,0.4625489609782453,0.7254181644440562,spd,True,True,converges,converges,46.98313526049983,23.891844706276764,1.1512670937901799,exact_eig,exact_eig,analysed,0.012668888000007428
random_matrices,rand_009_n13,13.0,169.0,False,False,False,False,False,False,False,False,15.27628509273923,17620.12560066062,30.21335475266413,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.008656524999992143
random_matrices,rand_010_n13,13.0,169.0,False,False,False,False,False,False,False,False,13.699096680448172,431.2721147363721,23.423495461519202,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.009976514000015868
structural_problem,mesh1e1,48.0,306.0,True,True,False,True,True,True,False,False,0.7779254832691136,0.32472130764158175,0.7892485832556652,spd,True,True,converges,converges,73.35277069663141,16.377024897178405,1.2282322389331468,exact_eig,exact_eig,analysed,0.01269781499996725
structural_problem,mesh1em1,48.0,306.0,True,True,False,True,True,True,False,True,0.844795872645029,0.7141058360026165,0.909823070056186,spd,True,True,converges,converges,109.21767615426295,54.70556119115428,1.3028562972785165,exact_eig,exact_eig,analysed,0.014632671999947888
structural_problem,bcsstm05,153.0,153.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,0.011502849999999398
