domain,Gauss elimination,Gauss-Jordan,LU,Cholesky,Jacobi,Gauss-Seidel,SOR,Conjugate Gradient,BiCGSTAB,APK (ours)
2d_3d_problem,69.38775510204081,67.3469387755102,69.38775510204081,10.204081632653061,30.612244897959183,40.816326530612244,38.775510204081634,14.285714285714285,55.10204081632652,79.59183673469387
acoustics_problem,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,100.0,100.0
chemical_process_simulation_problem,54.54545454545454,54.54545454545454,54.54545454545454,0.0,2.272727272727273,2.272727272727273,2.272727272727273,0.0,9.090909090909092,34.090909090909086
circuit_simulation_problem,95.5,95.5,95.5,0.0,0.5,0.5,1.0,0.0,18.0,67.0
computational_chemistry_problem,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
computational_fluid_dynamics,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
computational_fluid_dynamics_problem,50.413223140495866,50.413223140495866,50.413223140495866,0.8264462809917356,5.785123966942149,9.090909090909092,7.43801652892562,5.785123966942149,45.45454545454545,57.85123966942148
computer_graphics_vision_problem,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
counter_example_problem,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,75.0
directed_weighted_graph,82.35294117647058,76.47058823529412,82.35294117647058,0.0,17.647058823529413,58.82352941176471,47.05882352941176,0.0,47.05882352941176,70.58823529411765
economic_problem,6.25,6.25,6.25,0.0,6.25,6.25,6.25,0.0,12.5,31.25
eigenvalue_model_reduction_problem,5.263157894736842,5.263157894736842,5.263157894736842,0.0,0.0,0.0,0.0,0.0,10.526315789473683,10.526315789473683
electromagnetics_problem,52.0,52.0,52.0,4.0,8.0,32.0,32.0,8.0,60.0,60.0
linear_programming_problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
materials_problem,11.11111111111111,11.11111111111111,11.11111111111111,0.0,11.11111111111111,22.22222222222222,22.22222222222222,11.11111111111111,33.33333333333333,33.33333333333333
model_reduction_problem,38.46153846153847,38.46153846153847,38.46153846153847,15.384615384615385,15.384615384615385,15.384615384615385,23.076923076923077,23.076923076923077,46.15384615384615,69.23076923076923
optimal_control_problem,51.28205128205128,51.28205128205128,51.28205128205128,0.0,0.0,0.0,0.0,7.6923076923076925,12.82051282051282,38.46153846153847
optimization_problem,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0,5.128205128205128,56.41025641025641
power_network_problem,41.17647058823529,41.17647058823529,41.17647058823529,23.52941176470588,0.0,0.0,0.0,23.52941176470588,29.411764705882355,88.23529411764706
random_matrices,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0
robotics_problem,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semiconductor_device_problem,0.0,0.0,0.0,0.0,75.0,100.0,100.0,0.0,100.0,100.0
statistical_mathematical_problem,66.66666666666666,66.66666666666666,66.66666666666666,0.0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,50.0,83.33333333333334
structural_problem,64.36781609195403,64.36781609195403,64.36781609195403,55.172413793103445,26.436781609195403,50.57471264367817,52.87356321839081,70.11494252873564,71.26436781609196,89.65517241379311
theoretical_quantum_chemistry_problem,3.7037037037037033,3.7037037037037033,3.7037037037037033,0.0,44.44444444444444,44.44444444444444,44.44444444444444,0.0,100.0,100.0
thermal_problem,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,100.0,100.0
undirected_weighted_graph,67.56756756756756,67.56756756756756,67.56756756756756,0.0,0.0,0.0,0.0,0.0,24.324324324324326,37.83783783783784
