domain,matrix,n,nnz,condition,method,chosen,setup_sec,zero_diagonal,rho_jacobi,rho_gauss_seidel,permuted,perm_cost,worst_ratio_before,worst_ratio_after,runtime_sec,iterations,matvecs,tri_solves,precond_applies,status,residual_abs,error_abs,residual_rel,error_rel,reported_converged,accurate,ratio_none,ratio_mc64,ratio_minsum,ratio_bottleneck,note
random_matrices,rand_001_n5,5.0,25.0,none,Jacobi,none,0.0,0.0,1.2564001629843287,1.9038686704045613,False,,12.623333693824373,,0.0012647199999946679,122.0,122.0,0.0,0.0,did_not_converge,223944549970686.22,2267103871787.929,1205351551418.9678,1013879673874.1554,False,False,,,,,
random_matrices,rand_001_n5,5.0,25.0,none,Gauss-Seidel,none,0.0,0.0,1.2564001629843287,1.9038686704045613,False,,12.623333693824373,,0.001592010000024402,44.0,44.0,43.0,0.0,did_not_converge,226207091198950.44,7759474124794.967,1217529376599.3289,3470142322538.4463,False,False,,,,,
random_matrices,rand_001_n5,5.0,25.0,none,SOR,none,0.0,0.0,1.2564001629843287,1.9038686704045613,False,,12.623333693824373,,0.0010299099999997452,25.0,25.0,24.0,0.0,did_not_converge,438834133868772.1,10261904382192.29,2361965960518.18,4589263155436.988,False,False,,,,,
random_matrices,rand_001_n5,5.0,25.0,mc64,Jacobi,mc64,0.0,0.0,,,True,6.2428051255570045,12.623333693824373,3.9961143643149173,0.0045281300000397096,512.0,512.0,0.0,0.0,did_not_converge,7386294547960.837,1559849099648.6719,39755741293.0453,697585724291.2546,False,False,,,,,
random_matrices,rand_001_n5,5.0,25.0,mc64,Gauss-Seidel,mc64,0.0,0.0,,,True,6.2428051255570045,12.623333693824373,3.9961143643149173,0.0053176899999698435,331.0,331.0,330.0,0.0,did_not_converge,19291079201529.254,4062966949917.796,103831650500.77426,1817014058070.2349,False,False,,,,,
random_matrices,rand_001_n5,5.0,25.0,mc64,SOR,mc64,0.0,0.0,,,True,6.2428051255570045,12.623333693824373,3.9961143643149173,0.0016704099999742539,73.0,73.0,72.0,0.0,did_not_converge,246973605608667.47,1548682089058.7034,1329302359530.118,692591685334.3287,False,False,,,,,
random_matrices,rand_001_n5,5.0,25.0,best,Jacobi,mc64,0.0,0.0,1.0577344929435883,1.0950328176038209,True,,12.623333693824373,3.9961143643149173,0.004479020000019318,512.0,512.0,0.0,0.0,did_not_converge,7386294547960.837,1559849099648.6719,39755741293.0453,697585724291.2546,False,False,12.623333693824373,3.9961143643149173,3.9961143643149173,3.9961143643149173,
random_matrices,rand_001_n5,5.0,25.0,best,Gauss-Seidel,mc64,0.0,0.0,1.0577344929435883,1.0950328176038209,True,,12.623333693824373,3.9961143643149173,0.005143149999980778,331.0,331.0,330.0,0.0,did_not_converge,19291079201529.254,4062966949917.796,103831650500.77426,1817014058070.2349,False,False,12.623333693824373,3.9961143643149173,3.9961143643149173,3.9961143643149173,
random_matrices,rand_001_n5,5.0,25.0,best,SOR,mc64,0.0,0.0,1.0577344929435883,1.0950328176038209,True,,12.623333693824373,3.9961143643149173,0.0016827200000193443,73.0,73.0,72.0,0.0,did_not_converge,246973605608667.47,1548682089058.7034,1329302359530.118,692591685334.3287,False,False,12.623333693824373,3.9961143643149173,3.9961143643149173,3.9961143643149173,
chemical_process_simulation_problem,b1_ss,7.0,15.0,none,Jacobi,none,0.00046359999998912826,1.0,,,False,,inf,,,,,,,not_applicable,,,,,,False,,,,,zero diagonal
chemical_process_simulation_problem,b1_ss,7.0,15.0,none,Gauss-Seidel,none,0.00046359999998912826,1.0,,,False,,inf,,,,,,,not_applicable,,,,,,False,,,,,zero diagonal
chemical_process_simulation_problem,b1_ss,7.0,15.0,none,SOR,none,0.00046359999998912826,1.0,,,False,,inf,,,,,,,not_applicable,,,,,,False,,,,,zero diagonal
chemical_process_simulation_problem,b1_ss,7.0,15.0,mc64,Jacobi,mc64,0.0,0.0,,,True,11.122760147984696,inf,27.778225315852314,0.0014904099999739628,85.0,85.0,0.0,0.0,solved,3.1989264113840475e-08,4.865508030330481e-07,8.773587833960819e-09,1.8389891786060235e-07,True,True,,,,,
chemical_process_simulation_problem,b1_ss,7.0,15.0,mc64,Gauss-Seidel,mc64,0.0,0.0,,,True,11.122760147984696,inf,27.778225315852314,0.0018105499999592212,52.0,52.0,51.0,0.0,solved,1.7839294010162502e-08,4.855112430426022e-07,4.892723144146796e-09,1.8350600111665198e-07,True,True,,,,,
chemical_process_simulation_problem,b1_ss,7.0,15.0,mc64,SOR,mc64,0.0,0.0,,,True,11.122760147984696,inf,27.778225315852314,0.0019867999999974018,85.0,85.0,84.0,0.0,did_not_converge,3816631164552.369,52242082166566.33,1046774587651.2528,19745651054990.99,False,False,,,,,
