method,corpus,applicable,solved,applicability,conditional_success
Gauss elimination,930,598,595,0.6430107526881721,0.9949832775919732
Gauss-Jordan,930,596,539,0.6408602150537634,0.9043624161073825
LU,930,598,595,0.6430107526881721,0.9949832775919732
Cholesky,930,62,60,0.06666666666666667,0.967741935483871
spsolve (SuperLU),930,904,876,0.9720430107526882,0.9690265486725663
splu (SuperLU),930,888,876,0.9548387096774194,0.9864864864864865
Jacobi,930,414,75,0.44516129032258067,0.18115942028985507
Gauss-Seidel,930,414,121,0.44516129032258067,0.2922705314009662
SOR,930,414,119,0.44516129032258067,0.28743961352657005
Conjugate Gradient,930,110,93,0.11827956989247312,0.8454545454545455
BiCGSTAB,930,905,343,0.9731182795698925,0.37900552486187844
GMRES(30),930,905,240,0.9731182795698925,0.26519337016574585
ILU only,930,739,79,0.7946236559139785,0.10690121786197564
ILU-BiCGSTAB,930,739,618,0.7946236559139785,0.8362652232746955
ILU-GMRES(30),930,739,604,0.7946236559139785,0.8173207036535859
ILU-Krylov (dispatched),930,739,619,0.7946236559139785,0.8376184032476319
